release_date,weighted_gamma,gamma,n_word,n_document
2015-09-27,0.03834210839356356,0.049223437505837644,13184,23
2015-09-28,0.03982381886085828,0.046998695658021214,11294,38
2015-09-29,0.03773928573960361,0.04177762291613538,20385,59
2015-09-30,0.06140508033985975,0.06297761573742616,16064,47
2015-10-01,0.04635424770350703,0.04098804060687245,13869,54
2015-10-02,0.05512479651513717,0.057984331671093056,9020,30
2015-10-03,0.004868402068594137,0.004677803832395673,1166,2
2015-10-04,0.0517540131442902,0.05576768247457644,9990,18
2015-10-05,0.027284320760950047,0.026454182069639065,14100,32
2015-10-06,0.05195721989407904,0.039164903121830796,21679,52
2015-10-07,0.033469358735176896,0.030716256644982648,16888,49
2015-10-08,0.04591061147650045,0.038388748233836825,18028,51
2015-10-09,0.03612308117865691,0.03952161819983394,9475,33
2015-10-10,0.012536347089497128,0.01615766687521876,1591,4
2015-10-11,0.051163181223851065,0.052723396809351016,13072,21
2015-10-12,0.06536865136394766,0.06772954459582271,17215,54
2015-10-13,0.03285110250923528,0.034482920109333175,19850,55
2015-10-14,0.05751766567882932,0.05164841605642841,19635,69
2015-10-15,0.03954958021948276,0.040540668005824565,18375,63
2015-10-16,0.0372640561026859,0.03221924942686927,16794,49
2015-10-17,0.024539999732672256,0.024539999732672256,460,1
2015-10-18,0.03957961519828706,0.05511082930708337,10895,19
2015-10-19,0.02658891326555015,0.033821373499283866,18474,55
2015-10-20,0.033551341389521254,0.034117761679563575,19645,68
2015-10-21,0.0362768078695569,0.03488733853637728,18812,66
2015-10-22,0.053848028811463826,0.049736105167769946,18415,61
2015-10-23,0.03741042507033738,0.045574273708005264,13157,40
2015-10-24,0.13276533393375425,0.08208578720415056,1263,5
2015-10-25,0.03040509571545881,0.04115777503876896,15007,24
2015-10-26,0.05076792382583385,0.06549891296086774,19696,64
2015-10-27,0.054539907363866956,0.05103584521249579,24614,76
2015-10-28,0.04226463988968622,0.04614043826311638,18385,63
2015-10-29,0.028484508494113325,0.02845534557169079,15466,55
2015-10-30,0.04234369556868169,0.04661917613833684,16520,44
2015-10-31,0.117508176009086,0.117508176009086,617,1
2015-11-01,0.07139167484154982,0.09129568159078352,7224,19
2015-11-02,0.08308609418453902,0.07828266625213198,18420,63
2015-11-03,0.051922364673554364,0.05655453634739285,14754,57
2015-11-04,0.06754524077066566,0.06097536132116529,16220,49
2015-11-05,0.055661371732102255,0.056008467236172886,14950,53
2015-11-06,0.049880613268827395,0.04930036794291461,20427,51
2015-11-07,0.06420634187726869,0.044875452929233395,1418,5
